id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,aid_conditioning,has_security,has_pool,has_outbuilding,street_quality,domestic_use_of_groundfloor,street_lanes,tourist_area,environmental_hazard,main_road_high_visibility,informal_settlement,commercial_corridor,has_water
FCC0084395,8.48696,-13.2401,815.44,Commercial,Industrial Manufacturing,NA,Difficult,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,Yes,Bad Road,No,None,No,Yes,No,Yes,No,Yes
FCC0086771,8.46081,-13.1733,597.05,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Good Road,No,Four,No,No,No,No,No,No
FCC0083136,8.48993,-13.211,2464.53,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,Yes,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0032245,8.48896,-13.247,7098.2002,Commercial,Industrial Manufacturing,NA,Easy,No,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,Yes,Yes,No,No,Average Road,No,One,No,No,No,No,No,Yes
FCC0043155,8.47641,-13.2409,1276.24,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Concrete,Average,Breeze Block,No,Yes,No,No,Average Road,No,Two,No,No,No,No,No,No
FCC0010462,8.47453,-13.2542,285.74,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0118864,8.48031,-13.1918,16568,Commercial,Industrial Manufacturing,NA,Difficult,No,Yes,Masonry,Good,No,Zinc / Metal Sheeting,Good,Sliding panels with aluminium frame,Yes,Yes,No,Yes,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0024069,8.4723,-13.1918,633.68,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,Yes,Concrete,Good,Sliding panels with aluminium frame,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0025837,8.47653,-13.2404,420.85,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Zinc,Bad,No,Zinc / Metal Sheeting,Bad,No Windows,Yes,No,No,Yes,Average Road,No,Two,No,No,No,No,No,No
FCC0030836,8.46885,-13.2499,653.25,Commercial,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,Yes,No,No,Bad Road,No,Two,No,No,No,No,No,No
FCC0116066,8.48941,-13.209,3548,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Zinc,Good,No,Zinc / Metal Sheeting,Good,No Windows,Yes,Yes,No,No,Average Road,Yes,One,No,No,No,No,No,Yes
