id_property,made_payment
FCC0005654,TRUE
FCC0005662,TRUE
FCC0005675,TRUE
FCC0005684,TRUE
FCC0005685,TRUE
FCC0005687,TRUE
FCC0005706,TRUE
FCC0005717,TRUE
FCC0005726,TRUE
FCC0005728,TRUE
FCC0005734,TRUE
FCC0005742,TRUE
FCC0005745,TRUE
FCC0005752,TRUE
FCC0005753,TRUE
FCC0005761,TRUE
FCC0005768,TRUE
FCC0005769,TRUE
FCC0005778,TRUE
FCC0005785,TRUE
FCC0005810,TRUE
FCC0005814,TRUE
FCC0005857,TRUE
FCC0005870,TRUE
FCC0005885,TRUE
FCC0005888,TRUE
FCC0005892,TRUE
FCC0005895,TRUE
FCC0005900,TRUE
FCC0005904,TRUE
FCC0005912,TRUE
FCC0005914,TRUE
FCC0005917,TRUE
FCC0005952,TRUE
FCC0005962,TRUE
FCC0005971,TRUE
FCC0005990,TRUE
FCC0006013,TRUE
FCC0006045,TRUE
FCC0006052,TRUE
FCC0006068,TRUE
FCC0006083,TRUE
FCC0006084,TRUE
FCC0006092,TRUE
FCC0006094,TRUE
FCC0006101,TRUE
FCC0006108,TRUE
FCC0006116,TRUE
FCC0006131,TRUE
FCC0006134,TRUE
FCC0006136,TRUE
FCC0006149,TRUE
FCC0006155,TRUE
FCC0006161,TRUE
FCC0006168,TRUE
FCC0006172,TRUE
FCC0006175,TRUE
FCC0006176,TRUE
FCC0006183,TRUE
FCC0006212,TRUE
FCC0006214,TRUE
FCC0006226,TRUE
FCC0006239,TRUE
FCC0006247,TRUE
FCC0006252,TRUE
FCC0006255,TRUE
FCC0006261,TRUE
FCC0006284,TRUE
FCC0006289,TRUE
FCC0006320,TRUE
FCC0006321,TRUE
FCC0006325,TRUE
FCC0006327,TRUE
FCC0006328,TRUE
FCC0006333,TRUE
FCC0006342,TRUE
FCC0006346,TRUE
FCC0006350,TRUE
FCC0006353,TRUE
FCC0006366,TRUE
FCC0006374,TRUE
FCC0006381,TRUE
FCC0006382,TRUE
FCC0006397,TRUE
FCC0006399,TRUE
FCC0006402,TRUE
FCC0006411,TRUE
FCC0006421,TRUE
FCC0006424,TRUE
FCC0006434,TRUE
FCC0006443,TRUE
FCC0006458,TRUE
FCC0006463,TRUE
FCC0006475,TRUE
FCC0006476,TRUE
FCC0006477,TRUE
FCC0006484,TRUE
FCC0006493,TRUE
FCC0006494,TRUE
FCC0006495,TRUE
FCC0006496,TRUE
FCC0006512,TRUE
FCC0006515,TRUE
FCC0006527,TRUE
FCC0006530,TRUE
FCC0006548,TRUE
FCC0006551,TRUE
FCC0006554,TRUE
FCC0006557,TRUE
FCC0006570,TRUE
FCC0006580,TRUE
FCC0006584,TRUE
FCC0006598,TRUE
FCC0006602,TRUE
FCC0006615,TRUE
FCC0006619,TRUE
FCC0006621,TRUE
FCC0006638,TRUE
FCC0006640,TRUE
FCC0006643,TRUE
FCC0006646,TRUE
FCC0006671,TRUE
FCC0006676,TRUE
FCC0006679,TRUE
FCC0006682,TRUE
FCC0006685,TRUE
FCC0006686,TRUE
FCC0006687,TRUE
FCC0006699,TRUE
FCC0006708,TRUE
FCC0006709,TRUE
FCC0006714,TRUE
FCC0006718,TRUE
FCC0006726,TRUE
FCC0006729,TRUE
FCC0006743,TRUE
FCC0006745,TRUE
FCC0006749,TRUE
FCC0006753,TRUE
FCC0006755,TRUE
FCC0006766,TRUE
FCC0006770,TRUE
FCC0006776,TRUE
FCC0006779,TRUE
FCC0006782,TRUE
FCC0006785,TRUE
FCC0006803,TRUE
FCC0006804,TRUE
FCC0006806,TRUE
FCC0006810,TRUE
FCC0006819,TRUE
FCC0006826,TRUE
FCC0006831,TRUE
FCC0006839,TRUE
FCC0006846,TRUE
FCC0006866,TRUE
FCC0006880,TRUE
FCC0006893,TRUE
FCC0006900,TRUE
FCC0006916,TRUE
FCC0006931,TRUE
FCC0006932,TRUE
FCC0006936,TRUE
FCC0006943,TRUE
FCC0006952,TRUE
FCC0006957,TRUE
FCC0006958,TRUE
FCC0006959,TRUE
FCC0006961,TRUE
FCC0006963,TRUE
FCC0006969,TRUE
FCC0006984,TRUE
FCC0006985,TRUE
FCC0006991,TRUE
FCC0006997,TRUE
FCC0007011,TRUE
FCC0007013,TRUE
FCC0007026,TRUE
FCC0007030,TRUE
FCC0007060,TRUE
FCC0007062,TRUE
FCC0007069,TRUE
FCC0007070,TRUE
FCC0007076,TRUE
FCC0007081,TRUE
FCC0007085,TRUE
FCC0007099,TRUE
FCC0007100,TRUE
FCC0007108,TRUE
FCC0007116,TRUE
FCC0007120,TRUE
FCC0007124,TRUE
FCC0007125,TRUE
FCC0007138,TRUE
FCC0007140,TRUE
FCC0007146,TRUE
FCC0007147,TRUE
FCC0007148,TRUE
FCC0007165,TRUE
FCC0007169,TRUE
FCC0007198,TRUE
FCC0007202,TRUE
FCC0007204,TRUE
FCC0007207,TRUE
FCC0007209,TRUE
FCC0007211,TRUE
FCC0007213,TRUE
FCC0007216,TRUE
FCC0007220,TRUE
FCC0007221,TRUE
FCC0007222,TRUE
FCC0007233,TRUE
FCC0007239,TRUE
FCC0007241,TRUE
FCC0007244,TRUE
FCC0007247,TRUE
FCC0007252,TRUE
FCC0007255,TRUE
FCC0007265,TRUE
FCC0007268,TRUE
FCC0007275,TRUE
FCC0007280,TRUE
FCC0007282,TRUE
FCC0007285,TRUE
FCC0007288,TRUE
FCC0007290,TRUE
FCC0007295,TRUE
FCC0007301,TRUE
FCC0007303,TRUE
FCC0007310,TRUE
FCC0007311,TRUE
FCC0007314,TRUE
FCC0007321,TRUE
FCC0007334,TRUE
FCC0007339,TRUE
FCC0007340,TRUE
FCC0007362,TRUE
FCC0007380,TRUE
FCC0007393,TRUE
FCC0007400,TRUE
FCC0007402,TRUE
FCC0007415,TRUE
FCC0007423,TRUE
FCC0007430,TRUE
FCC0007451,TRUE
FCC0007462,TRUE
FCC0007468,TRUE
FCC0007480,TRUE
FCC0007481,TRUE
FCC0007486,TRUE
FCC0007492,TRUE
FCC0007501,TRUE
FCC0007517,TRUE
FCC0007522,TRUE
FCC0007526,TRUE
FCC0007533,TRUE
FCC0007538,TRUE
FCC0007540,TRUE
FCC0007543,TRUE
FCC0007563,TRUE
FCC0007571,TRUE
FCC0007576,TRUE
FCC0007580,TRUE
FCC0007584,TRUE
FCC0007586,TRUE
FCC0007591,TRUE
FCC0007592,TRUE
FCC0007612,TRUE
FCC0007616,TRUE
FCC0007617,TRUE
FCC0007620,TRUE
FCC0007626,TRUE
FCC0007631,TRUE
FCC0007635,TRUE
FCC0007640,TRUE
FCC0007642,TRUE
FCC0007654,TRUE
FCC0007664,TRUE
FCC0007678,TRUE
FCC0007679,TRUE
FCC0007680,TRUE
FCC0007688,TRUE
FCC0007697,TRUE
FCC0007699,TRUE
FCC0007712,TRUE
FCC0007717,TRUE
FCC0007718,TRUE
FCC0007741,TRUE
FCC0007751,TRUE
FCC0007756,TRUE
FCC0007765,TRUE
FCC0007771,TRUE
FCC0007772,TRUE
FCC0007781,TRUE
FCC0007787,TRUE
FCC0007804,TRUE
FCC0007810,TRUE
FCC0007815,TRUE
FCC0007819,TRUE
FCC0007820,TRUE
FCC0007835,TRUE
FCC0007843,TRUE
FCC0007853,TRUE
FCC0007854,TRUE
FCC0007856,TRUE
FCC0007865,TRUE
FCC0007871,TRUE
FCC0007901,TRUE
FCC0007914,TRUE
FCC0007940,TRUE
FCC0007943,TRUE
FCC0007956,TRUE
FCC0007962,TRUE
FCC0007965,TRUE
FCC0007970,TRUE
FCC0007992,TRUE
FCC0007998,TRUE
FCC0008015,TRUE
FCC0008025,TRUE
FCC0008027,TRUE
FCC0008034,TRUE
FCC0008043,TRUE
FCC0008048,TRUE
FCC0008049,TRUE
FCC0008062,TRUE
FCC0008069,TRUE
FCC0008072,TRUE
FCC0008083,TRUE
FCC0008086,TRUE
FCC0008097,TRUE
FCC0008101,TRUE
FCC0008106,TRUE
FCC0008115,TRUE
FCC0008123,TRUE
FCC0008132,TRUE
FCC0008135,TRUE
FCC0008137,TRUE
FCC0008140,TRUE
FCC0008150,TRUE
FCC0008151,TRUE
FCC0008155,TRUE
FCC0008157,TRUE
FCC0008158,TRUE
FCC0008163,TRUE
FCC0008170,TRUE
FCC0008173,TRUE
FCC0008177,TRUE
FCC0008185,TRUE
FCC0008195,TRUE
FCC0008197,TRUE
FCC0008216,TRUE
FCC0008222,TRUE
FCC0008231,TRUE
FCC0008237,TRUE
FCC0008238,TRUE
FCC0008240,TRUE
FCC0008242,TRUE
FCC0008259,TRUE
FCC0008291,TRUE
FCC0008301,TRUE
FCC0008302,TRUE
FCC0008316,TRUE
FCC0008321,TRUE
FCC0008322,TRUE
FCC0008326,TRUE
FCC0008339,TRUE
FCC0008350,TRUE
FCC0008373,TRUE
FCC0008375,TRUE
FCC0008391,TRUE
FCC0008395,TRUE
FCC0008399,TRUE
FCC0008400,TRUE
FCC0008403,TRUE
FCC0008406,TRUE
